x,r,g,b,L,C,h
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00392156862745098,0.005609154686511777,0.005609054343428606,0.005609567835337261,0.39215686274509665,0.0,0.0
0.00784313725490196,0.011218309373023596,0.01121810868685726,0.01121913567067457,0.7843137254901968,0.0,0.0
0.011764705882352941,0.01682746405953537,0.016827163030285863,0.01682870350601183,1.1764705882352935,0.0,0.0
0.01568627450980392,0.022436618746047233,0.022436217373714564,0.022438271341349184,1.5686274509803937,0.0,0.0
0.0196078431372549,0.02804577343255901,0.02804527171714316,0.028047839176686448,1.9607843137254903,0.0,0.0
0.023529411764705882,0.03365492811907081,0.033654326060571775,0.033657407012023716,2.352941176470587,0.0,0.0
0.027450980392156862,0.03926408280558261,0.03926338040400043,0.03926697484736101,2.745098039215687,0.0,0.0
0.03137254901960784,0.04466771398646927,0.04466697107759566,0.044670772729771345,3.137254901960784,0.0,0.0
0.03529411764705882,0.04968104472079272,0.049680264443269444,0.04968425732025535,3.529411764705884,0.0,0.0
0.0392156862745098,0.05437892968785795,0.05437811439297258,0.05438228646263676,3.9215686274509807,0.0,0.0
0.043137254901960784,0.05881005192374549,0.05880920359990926,0.05881354468704977,4.313725490196077,0.0,0.0
0.047058823529411764,0.06301191429116523,0.0630110346472483,0.0630155360071449,4.7058823529411775,0.0,0.0
0.050980392156862744,0.06701411272723903,0.06701320325150786,0.06701785726832596,5.098039215686274,0.0,0.0
0.054901960784313725,0.07084047556484102,0.070839537567949,0.0708443375347445,5.490196078431374,0.0,0.0
0.058823529411764705,0.07451051408016895,0.07450954872733515,0.0745144886813878,5.882352941176475,0.0,0.0
0.06274509803921569,0.07804043680315934,0.07803944513878686,0.07804451973562265,6.274509803921568,0.0,0.0
0.06666666666666667,0.0814438776343098,0.08144286060117648,0.0814480650163629,6.666666666666664,0.0,0.0
0.07058823529411765,0.08473243046946982,0.08473138892393436,0.08473671877526798,7.058823529411761,0.0,0.0
0.07450980392156863,0.08791604955862317,0.08791498428284678,0.08792043556781173,7.450980392156865,0.0,0.0
0.0784313725490196,0.09100335455381478,0.09100226626570887,0.091007835310571,7.843137254901961,0.0,0.0
0.08235294117647059,0.09401901711661587,0.09401790635019286,0.09402359042227579,8.235294117647062,0.0,0.0
0.08627450980392157,0.09703922788179026,0.09703809460314858,0.09704389387593557,8.627450980392158,0.0,0.0
0.09019607843137255,0.10007148618857173,0.10007033030791063,0.10007624524093436,9.019607843137258,0.0,0.0
0.09411764705882353,0.1031156501226777,0.10311447155125442,0.10312050259863428,9.411764705882359,0.0,0.0
0.09803921568627451,0.10617158161027479,0.10617038026037559,0.10617652787096463,9.803921568627455,0.0,0.0
0.10196078431372549,0.1092391462571412,0.10923792204205424,0.10924418665957905,10.196078431372552,0.0,0.0
0.10588235294117647,0.11231821319687726,0.11231696603086605,0.11232334809406178,10.588235294117645,0.0,0.0
0.10980392156862745,0.11540865494752858,0.11540738474580692,0.11541388468854591,10.980392156862749,0.0,0.0
0.11372549019607843,0.11851034727603954,0.11850905395474723,0.11851567220616327,11.372549019607849,0.0,0.0
0.11764705882352941,0.12162316907000384,0.12162185254618346,0.12162858953079075,11.764705882352942,0.0,0.0
0.12156862745098039,0.12474700221622112,0.12474566240779564,0.12475251854560312,12.156862745098039,0.0,0.0
0.12549019607843137,0.12788173148560833,0.12788036831135957,0.12788734401798096,12.549019607843135,0.0,0.0
0.12941176470588234,0.13102724442405062,0.13102585780359868,0.13103295349035837,12.941176470588236,0.0,0.0
0.13333333333333333,0.1341834312488094,0.1341820211025926,0.13418923717662745,13.333333333333336,0.0,0.0
0.13725490196078433,0.1373501847501324,0.13734875099938826,0.13735608786374587,13.725490196078432,0.0,0.0
0.1411764705882353,0.1405274001977409,0.14052594276448768,0.14053340081822077,14.117647058823536,0.0,0.0
0.14509803921568626,0.1437149752518912,0.14371349405890976,0.14372107369716763,14.509803921568626,0.0,0.0
0.14901960784313725,0.14691280987872984,0.14691130484954681,0.14691900646366307,14.901960784313736,0.0,0.0
0.15294117647058825,0.1501208062696843,0.15011927732855543,0.15012710130613294,15.29411764705883,0.0,0.0
0.1568627450980392,0.1533388687646488,0.1533373158365427,0.15334526256153558,15.686274509803923,0.0,0.0
0.16078431372549018,0.15656690377874022,0.1565653267893231,0.1565733966421158,16.07843137254902,0.0,0.0
0.16470588235294117,0.15980481973241772,0.15980321860803862,0.15981141196552237,16.470588235294116,0.0,0.0
0.16862745098039217,0.16305252698477285,0.1630509016524488,0.16305921888809582,16.862745098039213,0.0,0.0
0.17254901960784313,0.16630993776980932,0.16630828815721152,0.1663167296411462,17.25490196078431,0.0,0.0
0.1764705882352941,0.16957696613554482,0.16957529217098521,0.1695838582700535,17.647058823529413,0.0,0.0
0.1803921568627451,0.1728535278857796,0.17285182949819772,0.17286052057603402,18.039215686274517,0.0,0.0
0.1843137254901961,0.1761395405243836,0.17613781764333386,0.17614663406042597,18.431372549019613,0.0,0.0
0.18823529411764706,0.17943492320196783,0.17943317575760734,0.17944211787135914,18.82352941176471,0.0,0.0
0.19215686274509802,0.18273959666481088,0.1827378245878874,0.18274689275267972,19.215686274509814,0.0,0.0
0.19607843137254902,0.18605348320592077,0.18605168642776135,0.18606088099501117,19.60784313725491,0.0,0.0
0.2,0.1893765066181221,0.18937468507062186,0.1893840063888393,20.0,0.0,0.0
0.20392156862745098,0.19270859214906158,0.19270674576467278,0.19271619417951658,20.392156862745097,0.0,0.0
0.20784313725490194,0.19604966645803473,0.1960477951697563,0.19605737102408782,20.7843137254902,0.0,0.0
0.21176470588235294,0.1993996575745408,0.19939776131590803,0.19940746494984352,21.176470588235297,0.0,0.0
0.21568627450980393,0.20275849485847985,0.20275657356355475,0.2027664053145159,21.5686274509804,0.0,0.0
0.2196078431372549,0.2061261089619098,0.20612416256527122,0.2061341227680345,21.960784313725497,0.0,0.0
0.22352941176470587,0.20950243179228706,0.2095004602290214,0.20951054921576623,22.352941176470594,0.0,0.0
0.22745098039215686,0.2128873964771189,0.21288539968281106,0.2128956177831659,22.745098039215698,0.0,0.0
0.23137254901960785,0.21628093732995884,0.21627891524068316,0.21628926278177113,23.137254901960787,0.0,0.0
0.23529411764705882,0.21968298981768147,0.21968094236999341,0.21969141967647615,23.529411764705884,0.0,0.0
0.2392156862745098,0.22309349052897692,0.2230914176599048,0.22310202505402504,23.921568627450988,0.0,0.0
