x,r,g,b,L,C,h,dL,d2L,dC,d2C,dh,d2h
0.6588235294117647,0.9962049335863377,0.9302832244008717,0.0,92.47665534115949,92.03317379789387,1.7168516389978554,-0.7767418933134849,-0.10450125463671256,-0.8805842334112697,0.029171690191972743,-0.028064723910281142,0.005639175112812478
0.6627450980392157,1.0,0.9157588961510532,0.0,91.61107780106069,91.15407877211041,1.6936627815816379,-0.9044373289317846,-0.08242775290277038,-0.8792744923645017,0.010010159547100272,-0.02118784343247293,0.004315532065683969
0.6666666666666666,1.0,0.9012345679012348,0.0,90.66778068329592,90.27462481316486,1.6744759521329096,-0.9415973991190256,-0.01682781871588901,-0.8605639143170691,0.02871448769088758,-0.019433659778913204,0.000632135607503137
0.6705882352941176,1.0,0.8867102396514164,0.0,89.72788300282264,89.43295094347627,1.6547954620238114,-0.9380929663635627,0.0036119153234857038,-0.8218455169827266,0.03965578930478486,-0.019923572217466656,-0.00048545032474411887
0.6745098039215687,1.0,0.872185911401598,0.0,88.79159475056879,88.63093377919941,1.6346288076979762,-0.9343735684720542,0.003831955873902615,-0.7812523357074994,0.04152536508056315,-0.02040456042840144,-0.0004750502638017906
0.6784313725490196,1.0,0.8576615831517794,0.0,87.85913586587853,87.87044627206127,1.6139863411670086,-0.9304290546157574,0.004062350988235153,-0.7387947868216003,0.043377425978857076,-0.020873672745070238,-0.00046160807065581677
0.6823529411764706,1.0,0.843137254901961,0.0,86.93073664133728,87.15334420555621,1.5928814622078358,-0.9262488664955839,0.004303510315388337,-0.6944974837497853,0.04519710069908456,-0.021327776569713075,-0.0004449558387293884
0.6862745098039216,1.0,0.8286129266521426,0.0,86.00663813288736,86.4814513045617,1.5713307880275824,-0.9218220339849807,0.0045558468399597984,-0.6484005854234312,0.046968218840031994,-0.021763584422529014,-0.00042495526858177257
0.6901960784313725,1.0,0.8140885984023241,0.0,85.08709257336731,85.85654303470935,1.5493542933627777,-0.9171371728156643,0.0048197746535834085,-0.6005610460697213,0.04867343254174017,-0.02217768710687662,-0.0004015047948187078
0.6941176470588235,1.0,0.7995642701525056,0.0,84.17236378725603,85.28032921242226,1.5269754138138292,-0.9121824846778139,0.0050957063336021236,-0.5510537203399508,0.050294385182521495,-0.02256659401216643,-0.0003745465777567625
0.6980392156862745,1.0,0.7850399419026872,0.0,83.26272760401169,84.75443559402945,1.5042211053384449,-0.9069457601484601,0.00538404988525798,-0.4999722757046783,0.05181192817429192,-0.022926780262390145,-0.00034407302468919543
0.7019607843137254,1.0,0.7705156136528688,0.0,82.35847226695911,84.2803846610129,1.4811218532890489,-0.901414384907298,0.005685205200943955,-0.44742986399136697,0.053206384731137035,-0.02325474006154482,-0.0003101324711813347
0.7058823529411764,1.0,0.7559912854030507,0.0,81.45989883419709,83.85957586604671,1.4577116252153552,-0.8955753497465722,0.005999559988563163,-0.3935595062424042,0.05445785700051786,-0.023547045204752814,-0.00027283363880314937
